2.208179027347624501e+00 1.250000000000000000e-01
3.281341424030551401e+00 1.250000000000000000e-01
4.876054616817901532e+00 1.250000000000000000e-01
7.245789314111251045e+00 1.250000000000000000e-01
1.076720154105884752e+01 1.250000000000000000e-01
1.600000000000000000e+01 1.250000000000000000e-01
2.377590862619117118e+01 1.250000000000000000e-01
5.250146278448880111e+01 1.250000000000000000e-01
7.801687386908642452e+01 1.250000000000000000e-01
1.159326290257800167e+02 1.250000000000000000e-01
1.722752246569415036e+02 2.500000000000000000e-01
2.560000000000000000e+02 3.750000000000000000e-01
